Postcode,y_2012,y_2013,y_2014,y_2015,y_2016
3448,28,38,55,99,84
3450,532,572,578,689,857
3451,124,103,149,112,238
3453,28,155,160,64,88
3458,65,64,60,77,95
3460,247,182,145,192,198
3461,93,106,92,97,106
3462,42,31,27,32,36
3463,96,77,83,104,107
3464,41,35,76,95,79
3465,811,897,916,991,1243
3467,56,52,54,87,86
3468,9,30,54,18,20
3469,19,16,12,14,5
3472,67,80,45,72,96
3475,35,21,24,23,70
3477,0,0,14,10,3
3478,225,217,190,195,374
3480,59,65,79,78,59
3482,24,15,5,5,6
3483,41,22,20,35,26
3485,2,0,3,3,11
3487,1,0,8,12,3
3488,3,1,1,0,4
3489,9,7,6,6,10
3490,74,69,71,73,95
3491,0,5,1,7,6
3494,46,39,39,45,58
3496,432,433,336,400,396
3498,230,223,194,258,237
3500,4256,4384,4952,5026,5245
3501,50,65,44,56,98
3505,312,336,283,288,383
3506,6,4,1,12,5
3507,3,2,3,0,1
3509,17,5,8,7,4
3512,12,4,9,14,17
3515,40,51,34,50,49
3516,56,42,237,45,34
3517,92,90,66,115,103
3518,108,73,59,100,111
3520,14,11,27,32,23
3521,29,40,53,80,96
3522,21,41,30,19,18
3523,125,188,253,256,196
3525,95,53,36,54,84
3527,38,47,43,30,35
3529,3,1,1,3,2
3530,0,2,2,1,9
3531,4,1,5,1,5
3533,49,21,26,23,22
3537,16,27,20,14,19
3539,22,16,21,53,55
3540,34,42,20,6,22
3542,1,2,5,2,8
3544,15,8,17,10,11
3546,34,24,61,27,50
3549,381,283,415,411,429
3550,4063,5301,4619,4678,6172
3551,648,635,807,800,1060
3555,1175,1337,1552,1402,1989
3556,895,1148,1297,1104,1265
3557,155,62,42,23,61
3558,79,43,34,85,55
3559,28,25,27,34,41
3561,276,163,201,241,307
3562,10,19,14,14,27
3563,20,23,26,28,17
3564,1609,1567,1905,1675,2181
3565,6,6,5,7,2
3566,13,27,15,25,30
3567,18,42,27,33,29
3568,95,70,138,121,105
3570,34,32,23,26,26
3571,11,14,21,8,10
3572,5,13,7,4,9
3573,24,18,11,13,21
3575,15,55,34,29,64
3576,0,0,1,1,2
3578,0,2,2,1,0
3579,340,353,304,372,387
3580,13,11,45,45,44
3581,28,14,14,10,18
3583,16,7,12,18,5
3584,41,49,43,37,50
3585,1213,1265,1485,1638,1537
3586,12,22,26,29,23
3588,5,0,2,10,15
3589,19,22,20,17,9
3590,7,12,9,5,3
3591,0,4,1,0,3
3594,1,6,22,14,19
3595,38,39,47,33,38
3596,1,0,9,1,5
3597,9,11,20,13,14
3599,5,0,8,12,11
3607,5,4,43,4,29
3608,126,137,139,171,240
3610,96,136,189,140,164
3612,126,129,140,158,117
3614,16,31,28,39,17
3616,369,294,235,292,352
3617,2,9,4,3,13
3618,27,25,27,22,47
3620,366,490,416,692,707
3621,88,81,112,93,259
3622,17,12,16,14,64
3623,35,41,35,46,43
3624,23,26,23,24,39
3629,841,1017,1078,1207,1255
3630,4334,4468,5269,5285,5852
3631,330,316,341,601,586
3633,13,33,17,26,35
3634,36,98,84,76,97
3635,14,17,18,27,33
3636,184,257,208,244,253
3637,26,13,11,14,19
3638,78,78,120,111,236
3639,23,55,46,45,43
3640,24,30,41,17,14
3641,27,59,44,34,143
3644,470,519,559,603,630
3646,19,19,42,14,26
3647,0,2,2,0,1
3649,17,15,25,16,28
3658,251,309,302,441,443
3659,43,55,65,50,105
3660,1032,894,1048,1433,1592
3662,20,40,69,11,16
3663,15,13,6,10,16
3664,51,78,47,66,95
3665,18,23,25,13,16
3666,217,202,199,167,195
3669,66,59,36,73,77
3670,24,32,38,42,124
3672,829,1020,1066,1019,1385
3673,27,33,25,48,71
3675,69,85,70,83,60
3677,2118,2134,2281,2127,2242
3678,78,94,90,84,219
3682,21,76,29,43,37
3683,86,54,70,65,53
3685,101,95,99,146,85
3687,47,30,27,29,18
3688,43,48,71,49,82
3690,3186,2662,3060,3429,3158
3691,225,182,186,187,228
3695,6,2,9,16,16
3697,18,7,11,8,0
3698,10,5,4,11,10
3699,54,42,65,55,60
3700,54,75,40,82,108
3701,20,30,22,17,25
3704,0,1,3,13,0
3705,8,1,6,3,3
3707,126,132,85,38,78
3708,0,1,1,0,3
3709,12,17,14,11,2
3711,5,39,19,14,14
3712,22,19,10,9,13
3713,101,74,92,70,115
3714,155,161,215,153,177
3715,8,18,16,17,13
3717,117,154,138,176,206
3718,14,11,10,11,12
3719,15,22,18,15,7
3720,51,39,42,27,51
3722,200,225,398,299,405
3723,131,100,170,135,220
3724,0,0,0,4,0
3725,12,12,13,15,8
3726,10,16,22,15,12
3727,5,11,23,15,13
3728,15,21,35,15,54
3730,377,362,286,389,465
3732,8,11,19,40,10
3733,7,6,3,6,5
3735,2,8,10,14,14
3737,209,267,189,294,213
3738,6,4,5,1,4
3739,5,7,0,6,1
3740,20,12,85,30,14
3741,122,150,145,107,85
3744,7,7,7,6,8
3746,12,16,13,34,17
3747,133,203,112,165,109
3749,31,59,27,32,30
3750,244,233,315,451,597
3751,15,16,11,9,13
3752,1243,1322,1340,1212,1544
3753,72,91,136,194,199
3754,1256,1497,1767,1963,2669
3755,17,22,17,21,21
3756,587,745,998,1166,1375
3757,396,420,395,557,511
3758,91,92,90,145,185
3759,24,55,14,19,36
3760,2,8,11,1,5
3761,19,22,31,30,49
3762,8,14,17,10,8
3763,67,58,64,96,61
3764,431,623,525,629,720
3765,238,203,249,338,330
3766,29,34,9,17,34
3767,46,38,60,45,29
3770,112,90,93,146,121
3775,98,121,88,144,121
3777,386,351,413,433,529
3778,28,24,11,7,25
3779,35,14,22,17,20
3781,154,219,226,232,243
3782,281,286,444,284,268
3783,92,121,67,92,87
3785,5,11,14,10,14
3786,38,24,59,31,38
3787,25,31,26,25,28
3788,74,68,75,77,136
3789,11,9,8,5,6
3791,25,47,33,16,37
3792,132,22,26,26,12
3793,123,212,120,138,140
3795,41,35,30,36,64
3796,280,246,286,319,493
3797,148,209,195,141,168
3799,211,217,241,244,414
3802,1029,1459,1127,1534,1600
3803,818,925,979,1084,1271
3804,235,228,253,385,468
3805,3475,3458,3955,4560,4897
3806,2067,1759,2091,2429,2959
3807,367,375,299,390,520
3808,143,52,66,114,97
3809,331,350,364,510,787
3810,3085,3996,3505,4972,4409
3812,67,106,67,51,112
3813,28,42,39,22,59
3814,64,247,85,113,83
3815,96,112,128,99,126
3816,126,165,216,244,308
3818,772,873,1155,1263,1203
3820,1165,1212,1289,1388,1681
3821,92,58,102,125,130
3822,26,43,28,26,52
3823,82,85,85,107,127
3824,259,399,679,317,424
3825,2667,2729,2982,3801,4293
3831,61,73,84,38,62
3833,40,68,26,66,38
3835,47,45,14,48,34
3840,3355,3419,4168,4522,4691
3842,526,523,675,510,580
3844,3239,3559,4020,4470,4883
3847,147,137,117,200,270
3850,2074,2312,2242,2530,2488
3851,407,435,440,498,609
3852,0,0,1,0,1
3854,38,43,43,41,45
3856,19,24,25,24,35
3857,15,9,8,6,17
3858,240,529,201,225,300
3859,33,26,35,44,46
3860,431,390,419,569,564
3862,86,113,144,155,139
3864,10,9,24,31,19
3865,6,18,12,14,12
3869,64,50,109,61,64
3870,77,49,44,37,63
3871,127,88,177,161,105
3873,10,22,57,11,20
3874,48,32,43,65,60
3875,1577,2093,2041,2225,2214
3878,11,25,30,29,37
3880,119,108,126,153,194
3882,18,20,25,35,39
3885,69,72,73,105,44
3886,15,30,20,20,8
3887,43,49,56,61,59
3888,263,274,310,339,346
3889,14,12,13,16,39
3890,32,44,71,50,46
3891,12,6,6,9,7
3892,60,79,104,37,64
3893,2,1,2,1,0
3895,4,3,6,4,6
3896,18,19,25,25,10
3898,31,49,25,42,43
3900,11,8,8,15,26
3902,6,24,4,7,14
3903,29,20,22,35,21
3904,29,47,69,48,35
3909,834,989,868,894,887
3910,1009,1037,992,961,1188
3911,188,223,212,286,358
3912,674,698,822,842,1009
3913,230,189,171,217,227
3915,1294,1268,1521,1443,1650
3916,50,39,23,30,45
3918,134,128,123,178,168
3919,204,160,185,204,274
3920,15,11,12,2,7
3921,0,6,1,3,2
3922,523,679,659,707,746
3923,12,11,16,6,16
3925,208,151,200,192,220
3926,73,75,81,100,168
3927,41,45,61,46,77
3928,7,18,14,11,15
3929,90,52,26,54,64
3930,496,384,435,485,635
3931,1797,1992,1813,2194,2387
3933,46,52,126,111,224
3934,435,471,376,414,465
3936,553,598,722,718,902
3937,53,57,37,110,78
3938,78,90,169,139,153
3939,1337,1369,1631,1857,1661
3940,236,330,395,386,447
3941,973,862,1229,1056,969
3942,126,118,136,104,98
3943,303,253,193,185,170
3944,71,71,69,48,69
3945,49,25,12,44,24
3946,3,8,3,1,1
3950,248,277,269,386,348
3951,14,20,18,53,20
3953,434,440,338,352,572
3954,5,6,4,8,9
3956,117,121,99,97,132
3957,5,4,5,10,5
3958,2,8,3,5,9
3959,16,30,21,25,41
3960,74,99,123,115,96
3962,31,39,45,34,66
3964,2,3,3,2,2
3965,23,9,15,7,7
3966,16,19,18,18,25
3967,1,2,2,0,0
3971,306,226,270,220,320
3975,444,541,671,780,1043
3976,1171,1183,1395,1456,1808
3977,4693,4716,5573,6914,7954
3978,201,219,434,581,839
3979,7,4,15,21,10
3980,119,124,158,215,177
3981,229,203,231,299,272
3984,263,278,379,389,408
3987,24,35,44,41,61
3988,17,39,21,36,24
3990,8,4,3,10,4
3991,46,28,37,49,54
3992,16,16,35,58,41
3995,933,1201,1039,1182,1374
3996,318,239,300,286,260
